division,date,desc,temp,temp_min,temp_max,humidity
Pitampura,2026-04-30,Haze,30.08,31.08,29.29,54
Pitampura,2026-05-01,Haze,28.08,33.08,30.08,54
Pitampura,2026-05-02,Haze,29.08,29.08,29.08,54
Pitampura,2026-05-02,Haze,29.08,29.08,29.08,54
Mumbai,2026-05-04,Haze,29.99,29.99,29.99,70
Delhi,2026-05-04,Haze,28.05,28.05,28.05,51
New York,2026-05-04,Clear,17.36,15.98,18.47,41
Delhi,2026-05-04,Haze,27.05,27.05,27.05,61
,2026-05-04,Clear,30.02,30.02,30.02,16
Delhi,2026-06-18,Clear,37.66,37.66,37.66,29
Delhi,2026-06-19,Clear,36.3,36.3,36.3,32
Mumbai,2026-06-19,Clouds,29.9,29.9,29.9,70
Delhi,2026-06-19,Clear,35.33,35.33,35.33,31
Delhi,2026-06-19,Clouds,34.83,34.83,34.83,33
Delhi,2026-06-19,Clouds,34.88,34.88,34.88,37
